temperature;year;month;country
14.097;1940;9;Slovenia
8.947;1940;10;Slovenia
5.68319;1940;11;Slovenia
-4.8499;1940;12;Slovenia
-2.8908;1941;1;Slovenia
0.70264;1941;2;Slovenia
4.25645;1941;3;Slovenia
7.08857;1941;4;Slovenia
9.96245;1941;5;Slovenia
16.2389;1941;6;Slovenia
17.9931;1941;7;Slovenia
16.628;1941;8;Slovenia
12.5017;1941;9;Slovenia
8.29315;1941;10;Slovenia
1.42222;1941;11;Slovenia
-0.7859;1941;12;Slovenia
-7.7284;1942;1;Slovenia
-3.4608;1942;2;Slovenia
2.59476;1942;3;Slovenia
6.86618;1942;4;Slovenia
13.2309;1942;5;Slovenia
16.2809;1942;6;Slovenia
17.5055;1942;7;Slovenia
18.1962;1942;8;Slovenia
17.8134;1942;9;Slovenia
11.7257;1942;10;Slovenia
3.42378;1942;11;Slovenia
1.72219;1942;12;Slovenia
-3.6044;1943;1;Slovenia
2.5903;1943;2;Slovenia
5.03485;1943;3;Slovenia
9.49278;1943;4;Slovenia
12.5163;1943;5;Slovenia
14.8977;1943;6;Slovenia
18.1332;1943;7;Slovenia
19.9985;1943;8;Slovenia
16.2528;1943;9;Slovenia
11.4758;1943;10;Slovenia
2.66958;1943;11;Slovenia
1.01023;1943;12;Slovenia
0.63692;1944;1;Slovenia
-1.7997;1944;2;Slovenia
0.51186;1944;3;Slovenia
9.11501;1944;4;Slovenia
12.0572;1944;5;Slovenia
14.9601;1944;6;Slovenia
17.5948;1944;7;Slovenia
20.0108;1944;8;Slovenia
13.6864;1944;9;Slovenia
9.05781;1944;10;Slovenia
3.12842;1944;11;Slovenia
-1.6144;1944;12;Slovenia
-5.7369;1945;1;Slovenia
1.9366;1945;2;Slovenia
5.3969;1945;3;Slovenia
9.28541;1945;4;Slovenia
15.1167;1945;5;Slovenia
17.9948;1945;6;Slovenia
19.525;1945;7;Slovenia
17.6899;1945;8;Slovenia
14.5234;1945;9;Slovenia
9.1066;1945;10;Slovenia
3.31987;1945;11;Slovenia
-0.0904;1945;12;Slovenia
-2.8706;1946;1;Slovenia
1.41038;1946;2;Slovenia
5.35655;1946;3;Slovenia
10.8051;1946;4;Slovenia
14.6496;1946;5;Slovenia
16.7233;1946;6;Slovenia
19.707;1946;7;Slovenia
19.4392;1946;8;Slovenia
16.597;1946;9;Slovenia
7.17188;1946;10;Slovenia
3.95841;1946;11;Slovenia
-3.0504;1946;12;Slovenia
-6.339;1947;1;Slovenia
-1.6689;1947;2;Slovenia
4.88714;1947;3;Slovenia
10.8202;1947;4;Slovenia
14.1478;1947;5;Slovenia
17.6333;1947;6;Slovenia
19.4835;1947;7;Slovenia
18.6405;1947;8;Slovenia
17.2293;1947;9;Slovenia
8.84135;1947;10;Slovenia
5.49979;1947;11;Slovenia
-0.4322;1947;12;Slovenia
1.8316;1948;1;Slovenia
-0.4336;1948;2;Slovenia
6.05478;1948;3;Slovenia
9.33143;1948;4;Slovenia
13.8966;1948;5;Slovenia
15.0352;1948;6;Slovenia
15.7302;1948;7;Slovenia
17.7668;1948;8;Slovenia
14.9104;1948;9;Slovenia
10.3179;1948;10;Slovenia
4.8044;1948;11;Slovenia
-0.6315;1948;12;Slovenia
0.97121;1949;1;Slovenia
1.79822;1949;2;Slovenia
1.488;1949;3;Slovenia
11.0544;1949;4;Slovenia
12.6999;1949;5;Slovenia
14.7673;1949;6;Slovenia
17.9659;1949;7;Slovenia
17.1468;1949;8;Slovenia
16.0899;1949;9;Slovenia
10.9591;1949;10;Slovenia
4.38677;1949;11;Slovenia
1.36103;1949;12;Slovenia
-2.8276;1950;1;Slovenia
1.96577;1950;2;Slovenia
5.79995;1950;3;Slovenia
8.1049;1950;4;Slovenia
14.6352;1950;5;Slovenia
18.3297;1950;6;Slovenia
20.734;1950;7;Slovenia
19.3501;1950;8;Slovenia
14.6008;1950;9;Slovenia
8.97913;1950;10;Slovenia
4.04879;1950;11;Slovenia
-0.2079;1950;12;Slovenia
1.06747;1951;1;Slovenia
2.73791;1951;2;Slovenia
3.32962;1951;3;Slovenia
8.27375;1951;4;Slovenia
12.3073;1951;5;Slovenia
16.5928;1951;6;Slovenia
17.7669;1951;7;Slovenia
18.8915;1951;8;Slovenia
16.184;1951;9;Slovenia
8.3106;1951;10;Slovenia
6.31558;1951;11;Slovenia
0.95768;1951;12;Slovenia
-2.0744;1952;1;Slovenia
-1.8681;1952;2;Slovenia
2.21531;1952;3;Slovenia
10.7675;1952;4;Slovenia
12.5613;1952;5;Slovenia
17.1126;1952;6;Slovenia
20.3523;1952;7;Slovenia
19.5078;1952;8;Slovenia
12.7165;1952;9;Slovenia
8.88155;1952;10;Slovenia
2.76091;1952;11;Slovenia
-0.5497;1952;12;Slovenia
-2.0063;1953;1;Slovenia
-0.9161;1953;2;Slovenia
3.98826;1953;3;Slovenia
9.39758;1953;4;Slovenia
12.7036;1953;5;Slovenia
15.9107;1953;6;Slovenia
18.6472;1953;7;Slovenia
16.9176;1953;8;Slovenia
15.0124;1953;9;Slovenia
11.6349;1953;10;Slovenia
3.16366;1953;11;Slovenia
0.30914;1953;12;Slovenia
-5.3393;1954;1;Slovenia
-4.2963;1954;2;Slovenia
4.88176;1954;3;Slovenia
6.81487;1954;4;Slovenia
11.5057;1954;5;Slovenia
17.2279;1954;6;Slovenia
16.2063;1954;7;Slovenia
16.8322;1954;8;Slovenia
15.3815;1954;9;Slovenia
8.98344;1954;10;Slovenia
3.61482;1954;11;Slovenia
2.29528;1954;12;Slovenia
-0.3662;1955;1;Slovenia
0.65798;1955;2;Slovenia
1.14632;1955;3;Slovenia
6.83769;1955;4;Slovenia
11.2957;1955;5;Slovenia
15.2232;1955;6;Slovenia
17.5774;1955;7;Slovenia
16.5161;1955;8;Slovenia
14.261;1955;9;Slovenia
8.99104;1955;10;Slovenia
3.13856;1955;11;Slovenia
1.78596;1955;12;Slovenia
0.59719;1956;1;Slovenia
-6.2307;1956;2;Slovenia
1.32343;1956;3;Slovenia
6.91154;1956;4;Slovenia
12.9979;1956;5;Slovenia
14.5657;1956;6;Slovenia
18.4162;1956;7;Slovenia
17.6537;1956;8;Slovenia
15.2804;1956;9;Slovenia
8.82686;1956;10;Slovenia
1.78657;1956;11;Slovenia
-0.8078;1956;12;Slovenia
-2.3297;1957;1;Slovenia
2.83527;1957;2;Slovenia
5.73516;1957;3;Slovenia
8.11279;1957;4;Slovenia
10.1948;1957;5;Slovenia
17.7857;1957;6;Slovenia
18.2087;1957;7;Slovenia
16.6577;1957;8;Slovenia
13.4691;1957;9;Slovenia
9.37924;1957;10;Slovenia
5.34746;1957;11;Slovenia
0.48538;1957;12;Slovenia
-1.5728;1958;1;Slovenia
2.00597;1958;2;Slovenia
0.48656;1958;3;Slovenia
6.14885;1958;4;Slovenia
15.9418;1958;5;Slovenia
15.5911;1958;6;Slovenia
18.7667;1958;7;Slovenia
18.3654;1958;8;Slovenia
14.817;1958;9;Slovenia
10.1027;1958;10;Slovenia
5.56243;1958;11;Slovenia
1.94041;1958;12;Slovenia
-0.4836;1959;1;Slovenia
-0.1256;1959;2;Slovenia
6.20187;1959;3;Slovenia
8.99766;1959;4;Slovenia
12.4523;1959;5;Slovenia
15.5178;1959;6;Slovenia
18.8854;1959;7;Slovenia
16.956;1959;8;Slovenia
13.1962;1959;9;Slovenia
8.28507;1959;10;Slovenia
4.73291;1959;11;Slovenia
2.74911;1959;12;Slovenia
-1.6272;1960;1;Slovenia
0.06879;1960;2;Slovenia
4.27061;1960;3;Slovenia
8.3093;1960;4;Slovenia
12.4082;1960;5;Slovenia
16.662;1960;6;Slovenia
16.1018;1960;7;Slovenia
17.3224;1960;8;Slovenia
13.5597;1960;9;Slovenia
10.356;1960;10;Slovenia
5.9252;1960;11;Slovenia
2.34972;1960;12;Slovenia
-2.0181;1961;1;Slovenia
2.29873;1961;2;Slovenia
6.39924;1961;3;Slovenia
11.3048;1961;4;Slovenia
11.7771;1961;5;Slovenia
16.9866;1961;6;Slovenia
16.6873;1961;7;Slovenia
17.6328;1961;8;Slovenia
16.4796;1961;9;Slovenia
11.151;1961;10;Slovenia
4.79231;1961;11;Slovenia
-1.2511;1961;12;Slovenia
-0.5127;1962;1;Slovenia
-0.2788;1962;2;Slovenia
0.92611;1962;3;Slovenia
8.35009;1962;4;Slovenia
11.4735;1962;5;Slovenia
14.877;1962;6;Slovenia
16.4966;1962;7;Slovenia
19.331;1962;8;Slovenia
13.7922;1962;9;Slovenia
10.0515;1962;10;Slovenia
3.61049;1962;11;Slovenia
-3.6812;1962;12;Slovenia
-5.9549;1963;1;Slovenia
-4.0044;1963;2;Slovenia
2.18464;1963;3;Slovenia
9.31737;1963;4;Slovenia
12.7223;1963;5;Slovenia
16.7436;1963;6;Slovenia
19.3276;1963;7;Slovenia
17.9118;1963;8;Slovenia
15.2393;1963;9;Slovenia
9.28404;1963;10;Slovenia
8.05146;1963;11;Slovenia
-3.1681;1963;12;Slovenia
-5.3093;1964;1;Slovenia
-0.0829;1964;2;Slovenia
2.32058;1964;3;Slovenia
9.22154;1964;4;Slovenia
13.0623;1964;5;Slovenia
18.0913;1964;6;Slovenia
18.3869;1964;7;Slovenia
16.8666;1964;8;Slovenia
14.2235;1964;9;Slovenia
8.87845;1964;10;Slovenia
5.6449;1964;11;Slovenia
0.15494;1964;12;Slovenia
-0.0736;1965;1;Slovenia
-2.8703;1965;2;Slovenia
3.91677;1965;3;Slovenia
6.98352;1965;4;Slovenia
11.5198;1965;5;Slovenia
16.1133;1965;6;Slovenia
17.3454;1965;7;Slovenia
16.0856;1965;8;Slovenia
14.0704;1965;9;Slovenia
9.14508;1965;10;Slovenia
3.00496;1965;11;Slovenia
0.87986;1965;12;Slovenia
-3.5822;1966;1;Slovenia
4.67366;1966;2;Slovenia
3.56716;1966;3;Slovenia
10.1836;1966;4;Slovenia
13.0414;1966;5;Slovenia
17.0682;1966;6;Slovenia
16.8291;1966;7;Slovenia
16.5028;1966;8;Slovenia
14.9286;1966;9;Slovenia
12.6931;1966;10;Slovenia
2.75795;1966;11;Slovenia
0.22288;1966;12;Slovenia
-2.0859;1967;1;Slovenia
0.78136;1967;2;Slovenia
5.37435;1967;3;Slovenia
7.55317;1967;4;Slovenia
13.3666;1967;5;Slovenia
15.4339;1967;6;Slovenia
19.5136;1967;7;Slovenia
17.8563;1967;8;Slovenia
15.0725;1967;9;Slovenia
11.0237;1967;10;Slovenia
5.05184;1967;11;Slovenia
-0.848;1967;12;Slovenia
-3.2018;1968;1;Slovenia
1.74303;1968;2;Slovenia
